Name,populatiion
Admiralty,14410
Airport Road,0
Alexandra Hill,15650
Alexandra North,1000
Aljunied,41710
Anak Bukit,21990
Anchorvaleæ(Buangkok),38040
Ang Mo Kio Town Centre,5020
Anson,80
Balestier,32340
Bangkit,23800
Bayfront Subzone,0
Bayshore,7480
Bedok North,85930
Bedok Reservoir,25400
Bedok South,51190
Bencoolen,1460
Bendemeer,33830
Benoi Sector,0
Bidadari,10
Bishan East,28820
Boat Quay,180
Boon Keng,10970
Boon Lay Place,31100
Boon Teck,15110
Boulevard,400
Braddell,10760
Bras Basah,10
Brickworks,0
Bugis,2330
Bukit Batok Central,26060
Bukit Batok East,14570
Bukit Batok South,13940
Bukit Batok West,15190
Bukit Ho Swee,16290
Bukit Merah,1190
Cairnhill,3330
Cecil,160
Central Subzone,480
Central Water Catchment,10
Changi Airport,0
Changi Bay,0
Changi Point,790
Changi West,1740
Chatsworth,5740
Cheng San,29770
Chin Bee,0
China Square,1590
Chinatown,11880
Choa Chu Kang Central,21400
Choa Chu Kang Northæ(Kranji North & Pang Sua),34380
Chong Boon,27900
City Hall,60
City Terminalsæ(Tanjong Pagar),40
Clarke Quay,130
Clementi Central,13490
Clementi North,28730
Clementi West,16470
Clementi Woods,16400
Clifford Pier,0
Commonwealth,8130
Compassvaleæ(Trafalgar),18510
Coney Island,0
Coronation Road,6170
Crawford,9740
Dairy Farm,5390
Defu Industrial Park,20
Depot Road,5200
Dhoby Ghaut,210
Dover,13200
Dunearn,3900
East Coast,0
Everton Park,9010
Faber,4320
Fajar,26770
Farrer Court,4680
Farrer Park,3130
Fernvaleæ(Jalan Kayu East),35590
Flora Drive,12950
Fort Canning,160
Frankel,33570
Gali Batuæ(Mandai),130
Geylang Bahru,12870
Geylang East,33380
Ghim Moh,11900
Gombak,9820
Goodwood Park,910
Greenwood Park,70
Guilin,13130
Gul Basin,20
Gul Circle,30
Henderson Hill,12870
Hillcrest,8810
Hillview,18220
Holland Drive,14230
Holland Road,10280
Hong Kah,56870
Hong Kah North,28340
Hougang Central,4830
Hougang East,21940
Hougang West,50120
Institution Hill,3380
International Business Park,10
Istana Negara,40
Jelebu,33470
Joo Koon,40
Joo Sengæ(Paya Lebar),6720
Jurong Gatewayæ(Regional Centre),20
Jurong Island and Bukum,0
Jurong Port,10
Jurong River,10
Jurong West Central,68200
Kaki Bukit,40820
Kallang Bahru,30
Kallang Way,40
Kampong Bugis,890
Kampong Glam,170
Kampong Java,11260
Kampong Tiong Bahru,10460
Kampong Ubi,13210
Kangkar,26080
Katong,9620
Keat Hong,15660
Kebun Bahru,23910
Kembangan,38440
Kent Ridge,1080
Khatib,10850
Kian Teck,50
Kim Keat,8610
Kovanæ(Rosyth),25640
Kranji,20
Lakeside,1010
Lavender,10320
Leedon Park,6260
Leonie Hill,2450
Lim Chu Kang,90
Little India,3850
Liu Fang,10
Lorong 8 Toa Payohæ(Kallang),8220
Lorong Ah Soo,34180
Lorong Chuan,8390
Lorong Halusæ(Sungei Serangoon),0
Lorong Halus Northæ(Sungei Serangoon East),0
Lower Seletar,2870
Loyang East,2190
Loyang West,200
Mackenzie,110
MacPherson,28630
Malcolm,2630
Mandai East,0
Mandai Estate,2120
Mandai West,0
Margaret Drive,10520
Marina Centre,20
Marina East,0
Marina East,0
Marina South,0
Marine Parade,28910
Maritime Squareæ(HarbourFront),2560
Marymount,31540
Matilda,30440
Maxwell,0
Mei Chin,16750
Midview,35510
Monk's Hill,980
Moulmein,8470
Mount Emily,1110
Mount Pleasant,650
Mountbatten,10210
Nassim,8340
National University of Singapore,360
Nature Reserve,3870
Nee Soon,900
Newton Circus,230
North Coast,14610
North-Eastern Islands,60
Northland,30380
Northshore,280
One North,620
One Tree Hill,1840
Orange Grove,1440
Oxley,1380
Pandan,10
Pang Sua,20
Pasir Panjang 1,4010
Pasir Panjang 2,3520
Pasir Ris Centralæ(Town),25730
Pasir Ris Drive,59480
Pasir Ris Park,2980
Pasir Ris Wafer Fab Parkæ(Pasir Ris West),20
Pasir Ris Westæ(Elias),36330
Paterson,150
Paya Lebar East,10
Paya Lebar North,20
Paya Lebar West,0
Pearl's Hill,8230
Pei Chun,11780
Peng Siang,32130
Penjuru Crescent,10
People's Park,390
Phillip,0
Pioneer Sector,0
Plab,0
Port,140
Potong Pasir,12650
Pulau Punggol Barat,0
Pulau Punggol Timor,0
Pulau Seletar,0
Punggol Canalæ(incl. Coney Island),0
Punggol Field,43300
Punggol Town Centre,7390
Queensway,280
Raffles Place,60
Redhill,12210
Reservoir View,20
Ridout,1400
Rivervaleæ(Sungei Serangoon West),59860
Robertson Quay,2420
Rochor Canal,10
Safti,0
Samulun,10
Saujana,25530
Selegie,270
Seletar,260
Seletar Aerospace Park,20
Seletar Hills,13580
Semakau,0
Sembawang Central,29140
Sembawang East,90
Sembawang Hills,6890
Sembawang North,26860
Sembawang Springs,4290
Sembawang Straits,1700
Sengkang Town Centre,54680
Sengkang Westæ(Jalan Kayu West),10
Senja,20200
Sennett,4540
Senoko North,20
Senoko South,20
Senoko West,20
Sentosa,1470
Serangoon Central,26480
Serangoon Garden,39180
Serangoon North,17490
Serangoon North Ind Estate,20
Shangri-La,18510
Shipyard,0
Siglap,6930
Simei,42710
Simpang North,0
Simpang South,0
Singapore General Hospital,10
Singapore Polytechnic,160
Somerset,130
Southern Group,0
Springleaf,3880
Straits View,0
Sudong,0
Sungei Road,2420
Sunset Way,6290
Swiss Club,5550
Tagoreæ(Sindo),8350
Tai Sengæ(Tai Keng),14700
Taman Jurong,36940
Tampines East,138500
Tampines North,0
Tampines West,78110
Tanglin,390
Tanglin Halt,13160
Tanjong Irau,0
Tanjong Pagar,520
Tanjong Rhu,11310
Teban Gardens,19080
Teck Whye,27040
Telok Blangah Drive,16000
Telok Blangah Rise,13820
Telok Blangah Way,10690
Tengah,10
Tengeh,0
The Wharves,0
Tiong Bahru,12190
Tiong Bahru Station,16670
Toa Payoh Central,30740
Toa Payoh Westæ(Marymount),13360
Toh Guan,16510
Toh Tuck,40
Townsville,23770
Trafalgar,44800
